x,y,z,stage,ratio
53.8865543998,225.4920635023,373.2999856190,8.3,0.074
-13.3484490202,218.2456800420,404.5581304535,8.4,0.101
-45.5934589398,214.7704112881,419.5491193579,10.0,0.258
